
Date,Day,Shift Start time,Shift end time,Total guest served,Average spend per guest,collected cash sales (cash owed to resturant) ,Total auto gratuity,Non-cash tips (total),Non cash tips reported,Bar tipout,Support tipout,total tipout,Bottled Beer quantiy,Bottled beer sales,Draft beer quant,Draft beer sales,food quant,food sales,liquor quant,liquor sales,wine quantity,wine sales,NA beverage quant,NA beverage sales,Non-gratuity serverice charges quant,non gratutity servercice charge sales,Total Net sales,Tax,Gross Sales,total (gross + tips),gross tips,,
11/19/2024,Tuesday,15:53,21:33,54,$35.63,$78.77,$0.00,$369.88,20.0%,46.97,$46.93,$93.90,5,$86.50,48,$381.00,67,"$1,173.30",19,$179.50,3,$24.00,14,$49.00,11,$30.62,"$1,923.92",$182.64,"$2,106.56","$2,476.44",$369.88,,
11/21/2024,Thursday,15:50,20:25,70,$25.81,$325.77,$0.00,$327.17,21.7%,16.3,$59.13,$75.43,5,$40.00,12,$117.50,93,"$1,478.25",9,$75.50,0,$0.00,18,$63.50,15,$32.19,"$1,806.94",$171.32,"$1,978.26","$2,305.43",$327.17,,
11/22/2024,Friday,10:54,15:49,25,$20.07,$70.62,$0.00,$100.38,22.4%,4.44,$15.84,$20.28,0,$0.00,7,$49.50,26,$396.04,2,$14.00,0,$0.00,10,$33.36,7,$8.96,$501.86,$47.62,$549.48,$649.86,$100.38,,
11/24/2024,Sunday,15:48,23:45,79,$29.90,$283.59,$0.00,$457.86,21.7%,52.08,$61.90,$113.98,2,$12.50,51,$344.00,96,"$1,547.49",33,$337.50,6,$50.00,11,$37.01,16,$33.75,"$2,362.25",$224.24,"$2,586.49","$3,044.35",$457.86,,
11/25/2024,Monday,15:27,21:54,51,$28.29,$47.05,$0.00,$271.80,19.3%,25.8,$41.07,$66.87,7,$35.50,17,$130.11,73,"$1,026.67",20,$159.50,4,$43.52,8,$28.00,9,$18.58,"$1,442.88",$136.85,"$1,579.73","$1,851.53",$271.80,,
11/27/2024,Wednesday,15:02,21:16,56,$27.08,$0.00,$0.00,$355.20,23.2%,29.08,$41.14,$70.22,7,$37.46,24,$220.82,72,"$1,028.54",12,$121.18,4,$36.00,11,$38.50,12,$33.87,"$1,516.37",$143.63,"$1,660.00","$2,015.20",$355.20,,
11/29/2024,Friday,15:55,23:25,66,$29.56,$105.96,$0.00,$373.48,20.1%,30.38,$57.45,$87.83,6,$37.00,17,$155.00,89,"$1,436.25",22,$200.00,5,$42.00,15,$52.50,13,$22.91,"$1,950.66",$185.24,"$2,135.90","$2,509.38",$373.48,,
11/29/2024,Friday,15:57,22:54,66,$28.66,$234.41,$0.00,$308.68,18.3%,27.44,$55.74,$83.18,1,$5.50,13,$137.31,91,"$1,393.56",25,$233.31,2,$16.00,20,$72.12,15,$33.91,"$1,891.71",$179.40,"$2,071.11","$2,379.79",$308.68,,
12/1/2024,Sunday,16:08,21:59,60,$24.76,$304.43,$0.00,$274.19,22.4%,21.48,$44.82,$66.30,3,$18.00,19,$168.50,69,"$1,120.61",12,$103.29,2,$17.00,12,$43.00,8,$15.26,"$1,485.66",$141.08,"$1,626.74","$1,900.93",$274.19,,
12/2/2024,Monday,15:57,21:19,37,$20.45,$71.10,$0.00,$148.81,21.6%,9.18,$23.32,$32.50,4,$24.00,14,$90.50,40,$583.00,1,$8.50,1,$8.00,8,$25.00,9,$17.76,$756.76,$63.74,$820.50,$969.31,$148.81,,
12/5/2024,Thursday,15:53,20:56,41,$29.97,$120.35,$0.00,$216.26,19.2%,23.97,$32.74,$56.71,4,$22.00,15,$153.43,48,$818.58,11,$107.00,8,$60.00,13,$45.94,10,$21.97,"$1,228.92",$103.38,"$1,332.30","$1,548.56",$216.26,,
12/6/2024,Friday,10:56,17:11,50,$22.23,$116.02,$0.00,$226.27,22.5%,5.49,$38.02,$43.51,0,$0.00,8,$55.50,59,$950.50,2,$23.00,0,$0.00,20,$69.00,9,$13.58,"$1,111.58",$93.53,"$1,205.11","$1,431.38",$226.27,,
12/7/24,Saturday,15:49,23:00,72,$25.00,$172.36,$0.00,$361.48,22.0%,26.08,$54.61,$80.69,4,$23.00,17,$136.50,88,"$1,365.20",28,$213.00,0,$0.00,9,$32.00,17,$30.21,"$1,799.91",$151.34,"$1,951.25","$2,312.73",$361.48,,
12/8/2024,Sunday,15:51,21:54,57,$23.22,$168.04,$0.00,$262.78,22.5%,17.5,$39.36,$56.86,0,$0.00,9,$71.00,67,$984.00,15,$125.00,7,$54.00,20,$71.00,8,$18.56,"$1,323.56",$111.33,"$1,434.89","$1,697.67",$262.78,,
12/12/2024,Thursday,15:56,21:49,34,$25.83,$121.75,$6.83,$142.82,18.5%,18.2,$23.08,$41.28,1,$7.00,7,$47.50,34,$577.00,21,$190.50,2,$15.00,8,$28.00,11,$13.38,$878.38,$73.87,$952.25,"$1,101.90",$149.65,,
12/13/2024,Friday,15:51,21:36,60,$24.92,$90.54,$0.00,$259.28,18.2%,16.84,$46.78,$63.62,4,$22.00,17,$164.74,73,"$1,169.54",2,$24.00,3,$29.92,17,$58.50,11,$26.32,"$1,495.02",$125.73,"$1,620.75","$1,880.03",$259.28,,
12/14/2024,Saturday,15:54,23:01,53,$32.41,$429.57,$0.00,$233.88,17.6%,21.79,$52.36,$74.15,9,$44.50,20,$154.27,80,"$1,309.00",9,$78.00,4,$34.38,23,$81.00,11,$16.52,"$1,717.67",$144.37,"$1,862.04","$2,095.92",$233.88,,
12/15/2024,Sunday,16:10,22:02,32,$32.17,$65.58,$0.00,$227.99,23.3%,13.29,$30.97,$44.26,0,$0.00,21,$128.82,52,$774.22,8,$52.00,1,$9.00,15,$51.66,8,$13.68,"$1,029.38",$86.53,"$1,115.91","$1,343.90",$227.99,,
12/15/2024,Sunday,15:58,21:13,52,$26.76,$26.55,$0.00,$280.60,20.5%,18.34,$41.44,$59.78,3,$14.00,16,$143.00,60,"$1,036.00",13,$99.00,1,$6.00,17,$60.00,10,$27.39,"$1,391.39",$116.97,"$1,508.36","$1,788.96",$280.60,,
12/19/2024,Thursday,15:54,0:49,84,$30.98,$105.18,$0.00,$536.13,21.3%,63.8,$63.96,$127.75,21,$118.00,62,$528.42,99,"$1,598.63",28,$265.00,0,$0.00,17,$60.00,20,$32.62,"$2,602.67",$218.82,"$2,821.49","$3,357.62",$536.13,,
12/20/2024,Friday,15:55,23:04,73,$25.68,$313.24,$0.00,$329.17,20.8%,29.19,$55.67,$84.86,3,$14.50,14,$117.50,91,"$1,391.65",21,$169.00,14,$116.00,16,$50.00,10,$16.19,"$1,874.84",$157.55,"$2,032.39","$2,361.56",$329.17,,
12/21/2024,Saturday,15:53,22:07,49,$31.71,$129.54,$0.00,$301.30,21.0%,42.28,$35.58,$77.86,8,$44.00,34,$301.00,53,$889.50,32,$241.00,2,$18.00,10,$35.00,15,$25.22,"$1,553.72",$130.56,"$1,684.28","$1,985.58",$301.30,,
12/22/2024,Sunday,15:48,20:29,16,$28.55,$0.00,$0.00,$116.25,25.5%,6.51,$14.08,$20.59,0,$0.00,5,$63.00,24,$352.00,3,$30.00,0,$0.00,1,$3.50,2,$8.27,$456.77,$38.40,$495.17,$611.42,$116.25,,
12/26/2024,Thursday,11:58,16:15,37,$24.94,$0.00,$0.00,$185.29,19.9%,11.32,$28.00,$39.32,8,$41.50,7,$57.00,48,$700.12,6,$54.27,1,$9.00,14,$48.36,6,$12.39,$922.64,$77.60,"$1,000.24","$1,185.53",$185.29,,
12/27/2024,Friday,16:16,19:21,26,$28.37,$35.77,$0.00,$152.72,21.7%,15.96,$19.22,$35.18,7,$39.00,8,$61.00,29,$480.50,14,$120.00,1,$8.00,2,$7.00,6,$18.10,$737.60,$61.97,$799.57,$952.29,$152.72,,
12/28/2024,Saturday,15:52,21:51,60,$22.00,$0.00,$0.00,$298.14,22.2%,18.86,$39.34,$58.20,1,$5.50,14,$111.89,67,$983.44,17,$138.17,2,$14.00,13,$45.50,14,$21.26,"$1,319.76",$110.97,"$1,430.73","$1,728.87",$298.14,,
12/29/2024,Sunday,15:51,21:24,39,$19.03,$86.08,$10.76,$148.60,20.6%,6.66,$23.45,$30.11,0,$0.00,4,$23.00,44,$586.16,3,$31.00,8,$41.11,15,$49.73,8,$11.24,$742.24,$62.43,$804.67,$964.03,$159.36,,
12/31/2024,Tuesday,10:29,16:39,63,$27.27,$0.00,$0.00,$388.91,22.4%,17.76,$53.63,$71.39,2,$12.00,10,$85.95,76,"$1,340.76",7,$76.00,3,$79.69,29,$102.50,12,$20.89,"$1,717.79",$144.57,"$1,862.36","$2,251.27",$388.91,,
1/2/2025,Thursday,15:54,22:56,49,$29.17,$117.62,$0.00,$300.62,22.8%,28.14,$39.14,$67.28,5,$41.00,24,$176.00,65,$978.50,13,$126.00,6,$59.00,8,$27.50,12,$21.55,"$1,429.55",$120.24,"$1,549.79","$1,850.41",$300.62,,
1/3/2025,Friday,15:57,22:37,53,$24.42,$5.00,$0.00,$272.24,21.1%,26.04,$34.77,$60.81,13,$74.50,17,$117.50,57,$869.15,17,$164.00,2,$16.00,8,$28.50,11,$22.72,"$1,294.37",$108.82,"$1,403.19","$1,675.43",$272.24,,
1/4/2025,Saturday,15:56,21:42,56,$23.00,$107.87,$0.00,$214.73,17.9%,20.84,$36.69,$57.53,1,$7.00,13,$127.50,70,$917.23,20,$154.27,1,$9.00,14,$49.00,17,$23.86,"$1,287.86",$108.29,"$1,396.15","$1,610.88",$214.73,,
1/5/2025,Sunday,14:55,21:44,58,$28.18,$44.99,$0.00,$347.33,21.8%,41.95,$38.90,$80.85,19,$269.50,15,$127.50,60,$972.50,22,$193.50,1,$9.00,12,$42.50,10,$19.69,"$1,634.19",$137.50,"$1,771.69","$2,119.02",$347.33,,
1/9/2025,Thursday,15:58,0:54,111,$27.87,$572.00,$0.00,$499.22,19.4%,85.46,$71.77,$157.23,22,$133.00,60,$561.00,106,"$1,794.21",63,$526.82,0,$0.00,14,$50.00,16,$28.97,"$3,094.00",$260.00,"$3,354.00","$3,853.22",$499.22,,
