
Date,Day,Shift Start time,Shift end time,Total guest served,Average spend per guest,collected cash sales (cash owed to resturant) ,Total auto gratuity,Non-cash tips (total),Non cash tips reported,Bar tipout,Support tipout,total tipout,Bottled Beer quantiy,Bottled beer sales,Draft beer quant,Draft beer sales,food quant,food sales,liquor quant,liquor sales,wine quantity,wine sales,NA beverage quant,NA beverage sales,Non-gratuity serverice charges quant,non gratutity servercice charge sales,Total Net sales,Tax,Gross Sales,total (gross + tips),gross tips,,
3/9/2025,Sunday,15:53,22:08,52,$23.90,$142.69,$0.00,$201.51,17.9%,26.12,$32.55,$58.67,1,$6.00,22,$199.71,63,$813.74,13,$101.50,9,$66.00,6,$21.00,16,$34.66,"$1,242.61",$102.67,"$1,345.28","$1,546.79",$201.51,,
3/13/2025,Thursday,10:02,16:20,48,$23.20,$97.11,$0.00,$226.21,22.0%,13.54,$32.27,$45.81,2,$24.50,13,$139.50,51,$806.63,1,$8.00,1,$21.50,23,$81.50,19,$32.09,"$1,113.72",$91.98,"$1,205.70","$1,431.91",$226.21,,
3/14/2025,Friday,15:53,22:54,52,$37.28,$101.45,$0.00,$418.76,22.7%,40.81,$49.23,$90.04,5,$29.00,25,$230.00,86,"$1,230.73",38,$276.00,5,$48.00,19,$67.00,19,$57.72,"$1,938.45",$159.98,"$2,098.43","$2,517.19",$418.76,,
3/15/2025,Saturday,15:55,21:51,53,$25.23,$0.00,$129.13,$144.49,10.8%,12.53,$41.40,$53.93,0,$0.00,8,$73.00,73,"$1,035.00",11,$90.00,2,$16.00,23,$81.00,10,$42.01,"$1,337.01",$110.15,"$1,447.16","$1,720.78",$273.62,,
3/16/2025,Sunday,15:55,21:09,43,$23.82,$0.00,$55.03,$178.92,17.5%,14.98,$29.86,$44.84,4,$19.00,14,$94.50,53,$746.58,5,$41.50,8,$59.00,9,$31.50,15,$32.18,"$1,024.26",$84.30,"$1,108.56","$1,342.51",$233.95,,
3/16/2025,Sunday,10:59,16:03,39,$23.56,$94.94,$0.00,$174.28,21.0%,15.54,$25.56,$41.10,6,$47.00,7,$61.00,43,$639.10,12,$84.50,2,$29.50,9,$31.50,14,$26.12,$918.72,$75.86,$994.58,"$1,168.86",$174.28,,
3/20/2025,Thursday,15:59,0:46,87,$24.26,$105.73,$4.66,$424.51,21.1%,56.28,$47.91,$104.19,8,$100.50,40,$381.00,85,"$1,197.80",40,$297.50,4,$25.00,13,$45.50,36,$63.01,"$2,110.31",$174.04,"$2,284.35","$2,713.52",$429.17,,
3/21/2025,Friday,15:54,22:53,63,$26.89,$86.25,$0.00,$254.22,15.6%,24.76,$49.19,$73.95,0,$0.00,26,$193.50,87,"$1,229.70",18,$137.50,3,$22.83,17,$60.00,24,$50.75,"$1,694.28",$139.78,"$1,834.06","$2,088.28",$254.22,,
3/22/2025,Saturday,15:52,20:11,45,$26.15,$88.82,$0.00,$257.02,23.5%,19.42,$33.42,$52.84,5,$25.50,25,$166.00,59,$835.50,7,$53.00,4,$33.00,8,$28.00,17,$35.53,"$1,176.53",$96.91,"$1,273.44","$1,530.46",$257.02,,
3/23/2025,Sunday,10:25,15:16,33,$26.28,$0.00,$0.00,$139.85,16.1%,14.03,$24.02,$38.05,0,$0.00,11,$95.50,41,$600.50,23,$96.00,1,$9.00,11,$39.00,13,$27.24,$867.24,$71.41,$938.65,"$1,078.50",$139.85,,
3/25/2025,Tuesday,15:52,0:54,92,$24.08,$88.43,$0.00,$452.25,21.2%,63.69,$47.31,$111.00,15,$87.50,30,$259.50,76,"$1,182.75",60,$488.00,5,$75.00,16,$56.00,42,$67.02,"$2,215.77",$182.55,"$2,398.32","$2,850.57",$452.25,,
3/27/2025,Thursday,15:51,22:17,46,$24.35,$137.45,$72.33,$181.61,18.1%,17.78,$30.98,$48.76,0,$0.00,12,$101.00,52,$774.60,15,$106.00,4,$47.50,16,$57.00,17,$33.78,"$1,119.88",$92.31,"$1,212.19","$1,466.13",$253.94,,
3/27/2025,Thursday,15:53,23:12,83,$25.88,$342.71,$41.33,$362.43,19.7%,35.14,$59.64,$94.58,4,$22.00,23,$200.00,112,"$1,491.02",21,$157.00,16,$123.00,27,$96.50,27,$58.45,"$2,147.97",$177.66,"$2,325.63","$2,729.39",$403.76,,
3/28/2025,Friday,9:53,16:15,41,$22.72,$82.99,$9.44,$182.54,21.4%,18.3,$23.82,$42.12,7,$67.50,6,$55.00,39,$595.50,14,$111.00,2,$28.00,13,$47.50,19,$26.87,$931.37,$76.91,"$1,008.28","$1,200.26",$191.98,,
4/2/2025,Wednesday,11:04,18:55,46,$23.63,$214.03,$99.34,$71.29,8.0%,13.93,$31.06,$44.99,9,$47.00,9,$86.50,45,$776.50,6,$51.50,2,$14.00,22,$78.00,15,$28.55,"$1,087.05",$89.59,"$1,176.64","$1,347.27",$170.63,,
4/3/2025,Thursday,10:23,16:20,46,$22.75,$64.03,$0.00,$175.45,17.5%,24.59,$25.00,$49.59,7,$66.76,17,$148.50,43,$625.04,14,$127.00,1,$9.00,11,$39.00,21,$31.02,"$1,046.32",$86.33,"$1,132.65","$1,308.10",$175.45,,
4/4/2025,Friday,15:53,1:11,61,$36.09,$78.13,$0.00,$487.80,22.8%,77.51,$39.52,$117.03,9,$52.00,54,$503.84,66,$988.08,64,$551.46,0,$0.00,11,$39.50,29,$66.90,"$2,201.78",$181.61,"$2,383.39","$2,871.19",$487.80,,
4/5/2025,Saturday,10:27,20:48,69,$25.07,$59.67,$41.57,$320.67,19.0%,27.35,$49.92,$77.27,2,$12.50,30,$185.73,89,"$1,248.02",21,$161.50,4,$31.00,11,$38.50,29,$52.36,"$1,729.61",$142.60,"$1,872.21","$2,234.45",$362.24,,
4/6/2025,Sunday,15:53,21:54,48,$24.63,$3.50,$0.00,$196.35,16.7%,19.56,$33.50,$53.06,2,$25.50,18,$156.00,58,$837.50,8,$73.00,2,$25.00,8,$28.00,19,$37.16,"$1,182.16",$97.31,"$1,279.47","$1,475.82",$196.35,,
4/10/2025,Thursday,10:19,16:43,77,$25.69,$144.31,$104.17,$297.86,16.1%,33.98,$54.86,$88.84,1,$7.00,32,$285.00,93,"$1,371.50",22,$177.50,2,$16.00,18,$63.00,26,$58.00,"$1,978.00",$163.22,"$2,141.22","$2,543.25",$402.03,,
4/11/2025,Friday,15:51,22:52,51,$25.78,$39.60,$0.00,$261.80,19.5%,21.21,$37.18,$58.39,1,$6.00,11,$83.30,71,$929.51,19,$180.75,4,$32.98,12,$42.06,23,$40.14,"$1,314.74",$108.41,"$1,423.15","$1,684.95",$261.80,,
4/12/2025,Saturday,15:52,21:51,42,$21.11,$20.62,$0.00,$197.32,22.7%,12.15,$25.93,$38.08,1,$6.00,13,$94.50,48,$648.18,8,$73.00,0,$0.00,11,$38.50,15,$26.52,$886.70,$73.15,$959.85,"$1,157.17",$197.32,,
4/13/2025,Sunday,10:19,16:19,39,$23.80,$270.16,$0.00,$157.47,22.4%,7.77,$31.84,$39.61,0,$0.00,4,$41.00,52,$745.96,7,$58.00,2,$12.00,14,$50.00,12,$21.35,$928.31,$77.13,"$1,005.44","$1,162.91",$157.47,,
4/16/2025,Wednesday,10:51,17:07,53,$28.70,$66.54,$8.57,$254.04,17.4%,19.28,$48.04,$67.32,2,$11.50,12,$127.00,79,"$1,136.00",13,$130.00,1,$7.00,18,$65.00,17,$44.45,"$1,520.95",$125.60,"$1,646.55","$1,909.16",$262.61,,
4/17/2025,Thursday,15:51,20:51,33,$27.36,$60.23,$0.00,$152.75,18.0%,23.2,$21.80,$45.00,1,$21.00,15,$125.00,40,$524.00,22,$185.50,0,$0.00,6,$21.00,21,$26.31,$902.81,$74.56,$977.37,"$1,130.12",$152.75,,
4/18/2025,Friday,15:51,22:51:00,57,$26.09,$130.11,$0.00,$328.44,23.80%,$42.56,$33.50,$76.06,1,$5.50,29,$250.00,49,$837.50,32,$288.50,7,$64.00,6,$21.00,15,$20.78,"$1,487.28",$141.01,"$1,628.29","$1,956.73",$328.44,,
4/19/2025,Saturday,15:55,23:12:00,59,$23.60,$133.59,$0.00,$273.63,21.50%,$20.90,$40.60,$61.50,1,$6.00,25,$188.50,63,"$1,015.00",11,$96.00,1,$8.00,16,$56.00,13,$22.71,"$1,392.21",$132.18,"$1,524.39","$1,798.02",$273.63,,
4/20/2025,Sunday,10:50,16:23:00,42,$23.09,$0.00,$0.00,$211.52,21.80%,$6.30,$31.80,$38.10,0,$0.00,1,$8.00,58,$794.99,7,$74.00,1,$8.00,22,$77.50,3,$7.19,$969.68,$92.06,"$1,061.74","$1,273.26",$211.52,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
